producto,texto_feedback,categoria,severidad,producto_afectado,justificacion
Silla De Comedor Emilia Avellana Veracruz Crema,Muy contenta con las sillas del comedor. Llegaron perfectas y el descuento del 30% hizo la diferencia. Solo sugiero ampliar el horario de entregas a sábados.,logística,2,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback es positivo en general, pero incluye una sugerencia sobre el horario de entregas, específicamente ampliarlo a sábados. Esto se clasifica como logística porque afecta la distribución y entrega de productos. La severidad es baja (2) porque es una sugerencia de mejora, no una queja o problema urgente. El producto afectado es la silla mencionada, aunque la sugerencia es sobre el servicio de entregas. La cita textual es clara y la confianza es alta porque la sugerencia es explícita."
Sofá 3 Ptos Olive Calabria Marfil,"En la web el sofá aparece disponible pero después de pagar me llamaron a decir que no hay stock hasta dentro de un mes. Eso es publicidad engañosa. Quiero la devolución del dinero ya, no un bono.",Problema de stock / disponibilidad,5,Sofá 3 Ptos Olive Calabria Marfil,"El feedback indica claramente un problema de disponibilidad de stock después de la compra, lo que genera una queja por publicidad engañosa y solicitud de reembolso. La severidad es máxima (5) porque implica un incumplimiento grave de la promesa de venta, afecta la confianza del cliente y requiere acción inmediata para evitar escalada o denuncia. El producto afectado se menciona explícitamente. La cita textual es directa del texto. La confianza es alta porque el mensaje es inequívoco."
Mesa De Noche Sion Avellana,"Divinas las mesas de noche en avellana, compré dos y el tono es uniforme en ambas. Se nota la calidad de fabricante. El 20% de descuento fue el empujón final.",Positivo,0,Mesa De Noche Sion Avellana,"El feedback es completamente positivo, destacando la uniformidad del tono, la calidad del fabricante y el descuento como factor decisivo. No hay quejas ni problemas, por lo que no aplica severidad."
Sofacama Multifuncional Houston Trigo,"Buen producto, pero deberían ofrecer financiación directa o pagos a cuotas sin tarjeta de crédito. Casi no logro comprarlo porque no manejo tarjeta. Un convenio con Addi o Sistecrédito ayudaría mucho.",Sugerencia de mejora en opciones de pago,3,Sofacama Multifuncional Houston Trigo,"El feedback expresa una sugerencia clara para mejorar las opciones de pago, indicando que la falta de financiación directa o cuotas sin tarjeta de crédito casi impide la compra. La severidad es media (3) porque no es un error crítico del producto sino una limitación en el proceso de compra que afecta la accesibilidad. La cita textual captura la esencia del comentario. La confianza es alta porque el texto es explícito y directo."
Base Cama Sion Doble,"Buen día. La base cama que me entregaron ayer huele muy fuerte a pegante/laca, me dio dolor de cabeza y tuve que sacarla al balcón. ¿Es normal? ¿Cuánto dura ese olor? ¿No es tóxico para un bebé?",Calidad del producto,4,Base Cama Sion Doble,"El feedback reporta un olor fuerte a pegante/laca que causa dolor de cabeza, lo que indica un problema de calidad del producto (posiblemente emisiones de compuestos orgánicos volátiles). La severidad es alta (4) porque afecta la salud del usuario y requiere acción inmediata, especialmente al mencionar un bebé. El producto afectado es claramente la Base Cama Sion Doble. La cita textual captura el problema principal. La confianza es alta porque el texto es explícito y proviene de un ticket de soporte."
Mesa Comedor Sion Rectangular,"Pésima experiencia. La mesa llegó rayada, pedí el cambio y la segunda llegó con el mismo tipo de rayón en la cubierta. Claramente es un problema de empaque o de bodega. Dos meses perdidos en este proceso.",Calidad del producto,4,Mesa Comedor Sion Rectangular,"El feedback describe un defecto físico recurrente (rayones) en el producto, lo que indica un problema de calidad. La severidad es alta (4) porque implica falla en el reemplazo y pérdida de tiempo del cliente. La cita textual captura el problema principal. La confianza es alta porque el texto es claro y específico sobre el defecto."
Puff Olive Arena Calabria Marfil,"El puff está bien. La compra fue fácil. Me hubiera gustado más información sobre cómo limpiar la tela Calabria, no venía ninguna guía de cuidado.",Falta de información sobre cuidado del producto,2,Puff Olive Arena Calabria Marfil,"El cliente expresa claramente que el producto no incluye una guía de cuidado para la tela Calabria, lo que indica una falta de información postventa. La severidad es baja (2) porque no afecta la funcionalidad del producto, pero sí la experiencia del usuario. La cita textual es directa y la confianza es alta."
Silla De Terraza Olive Negro,Pedí 6 sillas negras de terraza para mi restaurante y me llegaron 4 negras y 2 crema. Necesito el cambio urgente porque inauguro el sábado. Además quisiera saber si manejan precios al por mayor para negocios.,Logística y Envíos,5,Silla De Terraza Olive Negro,"El feedback reporta un error en el pedido (mezcla de colores incorrecta) que afecta la operación del cliente (inauguración el sábado), lo cual corresponde a la categoría de Logística y Envíos. La severidad es máxima (5) por el impacto crítico en el negocio del cliente y la urgencia explícita. El producto afectado es la silla de terraza Olive Negro. La cita textual es la frase que describe el error. La confianza es alta porque el texto es claro y directo."
Silla Reclinable Coral Houston beige,"Cómoda la silla, mi esposo la usa todos los días. Le quito una estrella porque pesa muchísimo y entre dos personas apenas pudimos moverla para limpiar debajo.",Peso excesivo,3,Silla Reclinable Coral Houston beige,"El feedback menciona explícitamente que la silla es muy pesada, dificultando su movimiento incluso entre dos personas, lo que afecta la experiencia de uso y limpieza. Se clasifica como severidad 3 (moderada) porque es una queja funcional que no impide el uso principal del producto pero sí genera inconvenientes significativos."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,Sugerencia: las camas nicho para niños deberían incluir opción de barandas de seguridad y cajones inferiores de almacenamiento. Tocó comprar las barandas por aparte en otra tienda y no combinan.,Sugerencia de producto,3,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El feedback expresa una sugerencia clara sobre la inclusión de barandas de seguridad y cajones de almacenamiento en el producto, indicando una necesidad no cubierta que afecta la experiencia del cliente. La severidad se considera media (3) porque, aunque no es un defecto funcional, la falta de estos accesorios impacta la satisfacción y la compatibilidad estética."
Combo Hogar Mérida Arena Ivory,"Hola, me cobraron dos veces el combo Mérida en la tarjeta. En el extracto aparecen dos cargos de $4.990.000 del mismo día. Solo hice una compra. Necesito la reversión de uno de los cargos urgente, es muchísima plata.",Problema de facturación,5,Combo Hogar Mérida Arena Ivory,"El cliente reporta un doble cobro no autorizado de un monto elevado ($4.990.000) en el producto Combo Hogar Mérida Arena Ivory, solicitando reversión urgente. Esto corresponde a un problema de facturación con severidad máxima (5) por el impacto financiero significativo y la urgencia explícita."
Silla De Terraza Olive Ivory,"Compré las Olive ivory para el balcón y quedaron espectaculares. Livianas, fáciles de limpiar y muy cómodas sin cojín. La mejor compra del año para mi apartamento.",Positivo,5,Silla De Terraza Olive Ivory,"El feedback es claramente positivo, destacando características del producto como ligereza, facilidad de limpieza y comodidad, con una calificación de 5 estrellas. No hay quejas ni sugerencias de mejora, por lo que se clasifica como positivo con alta confianza."
Mesa De Noche Sion Arena,"Decepcionada. La mesa llegó a los 25 días, nadie respondía en servicio al cliente y cuando llegó el cajón venía descuadrado. El producto final es bonito pero el proceso fue un dolor de cabeza completo.",Logística y entrega,4,Mesa De Noche Sion Arena,"El feedback menciona un retraso significativo en la entrega (25 días), falta de respuesta del servicio al cliente y un defecto de calidad (cajón descuadrado). La categoría 'Logística y entrega' cubre tanto el retraso como la mala comunicación, y la severidad es alta (4) porque combina múltiples fallos graves que afectan la experiencia del cliente."
Sofá Modular Mini Santorini Verdi Gris,Quiero comprar un módulo adicional para mi Santorini gris pero en la página solo venden el set completo. ¿Venden módulos individuales? Sería muy útil que en la web se pudieran armar configuraciones personalizadas módulo por módulo.,Solicitud de producto,3,Sofá Modular Mini Santorini Verdi Gris,"El feedback expresa una solicitud clara de compra de módulos individuales y una sugerencia de mejora en la web para permitir configuraciones personalizadas. No se trata de un problema técnico ni de calidad, sino de una oportunidad de venta y mejora de experiencia de usuario. La severidad es media porque no es un reclamo urgente ni un defecto, pero afecta la capacidad de compra del cliente."
Cuna Evolutiva Rory Arena,"Bella la cuna y excelente calidad. Cuatro estrellas porque el manual de conversión a cama junior es confuso, tuvimos que buscar un video en YouTube de otra persona para entenderlo.",Documentación / Manual,2,Cuna Evolutiva Rory Arena,"El feedback menciona explícitamente que el manual de conversión es confuso, lo que indica un problema de documentación. La severidad es media (2) porque no afecta la funcionalidad del producto pero genera frustración en el usuario. La cita textual es directa y el producto afectado es claramente la Cuna Evolutiva Rory Arena."
Mueble Auxiliar Sion Arena,Todo excelente con el mueble. Una idea: un programa de recompra o descuento por traer el mueble viejo. Tengo muebles que quiero renovar y no sé qué hacer con los antiguos. Iría con su discurso de sostenibilidad.,Sugerencia de mejora,1,Mueble Auxiliar Sion Arena,"El cliente expresa satisfacción con el producto, pero propone una mejora relacionada con un programa de recompra o descuento para muebles viejos, alineado con la sostenibilidad. No hay queja ni problema técnico, por lo que se clasifica como sugerencia de mejora con severidad baja (1)."
Sofa 2 Ptos Macarena Negro Idilio Crudo,"Señores Only Home, compré el sofá en la tienda física de la 140 y me dijeron que la entrega era en 5 días. Van 12 días. En la tienda me dicen que llame a la línea, en la línea que escriba al WhatsApp y aquí nadie contesta. ¿Quién responde?",Problema de entrega,4,Sofa 2 Ptos Macarena Negro Idilio Crudo,"El cliente reporta un retraso significativo en la entrega (12 días vs 5 prometidos) y falta de respuesta en múltiples canales de atención, lo que indica un problema grave de logística y servicio al cliente. La severidad es alta (4) porque afecta la confianza del cliente y la reputación de la marca."
Cama Mini Palermo Doble Roble Santana,"La cama Palermo en roble Santana superó las expectativas. Sólida, sin chirridos, y el tono de la madera es cálido y elegante. El armado tomó 40 minutos y quedó perfecta.",Positivo,0,Cama Mini Palermo Doble Roble Santana,"El feedback es completamente positivo, destacando calidad, estética y facilidad de armado, sin mencionar problemas o quejas. Por lo tanto, se clasifica como positivo con severidad 0 (sin impacto negativo)."
Silla Auxiliar Olive Calabria Marfil,"Buena compra. La silla es más bonita en persona que en fotos. Sugerencia: la lista de deseos de la web no se sincroniza entre el celular y el computador, perdí mi selección dos veces.",Experiencia de usuario,3,Silla Auxiliar Olive Calabria Marfil,"El feedback menciona un problema funcional con la sincronización de la lista de deseos entre dispositivos, lo cual afecta la experiencia de usuario. Aunque el producto principal es la silla, el problema reportado es sobre la web, pero se clasifica como experiencia de usuario porque impacta la interacción con el sitio. La severidad es media (3) porque causa pérdida de datos (selecciones) pero no bloquea completamente el uso. La cita textual es exacta y la confianza es alta porque el texto es claro y específico."
Mesa De Terraza Olive Verde,"La mesa de terraza llegó con el vidrio/superficie flojo, se mueve al apoyar cualquier cosa. Revisé y parece que faltan dos soportes de caucho. ¿Me los pueden enviar o debo iniciar proceso de garantía? Pedido #OH-46102.",Defecto de fabricación,3,Mesa De Terraza Olive Verde,"El cliente reporta un defecto físico en el producto (superficie floja) debido a la falta de soportes de caucho, lo que indica un problema de fabricación o control de calidad. La severidad es media (3) porque afecta la funcionalidad pero no representa un riesgo de seguridad inmediato. La cita textual refleja exactamente el problema descrito."
Combo Hogar Mérida Arena Ivory,"Compramos el combo Mérida para estrenar apartamento y fue la mejor decisión: todo combina, llegó en una sola entrega y el armado gratis nos ahorró horas. Gran relación calidad-precio comprando en combo.",Elogio / Experiencia Positiva,0,Combo Hogar Mérida Arena Ivory,"El feedback es una reseña positiva con calificación 5, donde el cliente expresa satisfacción con el producto, la entrega y el servicio de armado. No hay quejas ni problemas, por lo que la severidad es 0. La categoría refleja una experiencia positiva, y la cita textual es la frase completa del cliente."
Silla De Comedor Emilia Avellana Veracruz Crema,"Las sillas llegaron bien. Comentario sobre la web: el comparador de productos es confuso y no muestra las medidas lado a lado, que es justo lo que uno quiere comparar en sillas y mesas.",usabilidad_web,3,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback menciona explícitamente un problema de usabilidad en la web (comparador confuso) que afecta la experiencia de compra, aunque el producto físico llegó bien. La severidad es media porque no impide la compra pero genera frustración. La cita textual es directa y clara."
Silla Reclinable Coral Houston beige,"Hola, compré la silla reclinable hace 8 días y hoy la veo con 10% adicional de descuento en la página. ¿Aplican ajuste de precio retroactivo? Me parece injusto, si hubiera esperado me ahorraba más de 300 mil pesos.",Ajuste de precio,3,Silla Reclinable Coral Houston beige,"El cliente solicita un ajuste de precio retroactivo por una compra reciente (8 días) al ver un descuento adicional del 10% en el mismo producto. La queja expresa insatisfacción por la diferencia de precio y la percepción de injusticia, lo que corresponde a la categoría de ajuste de precio. La severidad es media (3) porque afecta la confianza del cliente y puede generar insatisfacción, pero no es un problema crítico de producto o servicio. El producto afectado se identifica claramente en el texto. La cita textual es representativa del reclamo. La confianza es alta (0.95) porque el texto es explícito y directo."
Sofá 3 Ptos Olive Calabria Marfil,Experiencia 10/10. Desde la asesoría por WhatsApp hasta el armado todo fue impecable. Se nota el orgullo de ser fabricantes. El sofá Olive es el protagonista de mi sala. Seguiré comprando con ustedes.,Elogio,0,Sofá 3 Ptos Olive Calabria Marfil,"El feedback es completamente positivo, con una calificación NPS de 10 y un texto que expresa satisfacción total con el producto y el servicio. No hay quejas ni sugerencias de mejora, por lo que se clasifica como elogio con severidad 0 (sin impacto negativo)."
Sofá Modular Mini Santorini Verdi Ivory,"Hola, compré el sofá modular Santorini hace 3 semanas y todavía no me llega. En la página decía entrega de 8 a 10 días hábiles. Nadie me responde el estado del pedido #OH-45821. Necesito una respuesta hoy por favor.",logística y envío,4,Sofá Modular Mini Santorini Verdi Ivory,"El feedback indica un retraso en la entrega del producto (3 semanas vs 8-10 días hábiles) y falta de comunicación sobre el estado del pedido, lo que corresponde a la categoría de logística y envío. La severidad es alta (4) porque el cliente expresa urgencia y frustración por la falta de respuesta, lo que puede escalar a queja formal o cancelación. El producto afectado es el mencionado explícitamente. La cita textual es el mensaje completo del cliente. La confianza es alta (0.95) porque el texto es claro y directo sobre el problema."
Silla De Terraza Olive Verde,"Hermosas las sillas de la colección Olive, el color verde es idéntico al de las fotos. Llegaron antes de lo prometido y muy bien empacadas. Ya pedí la mesa de terraza para completar el set.",Positivo,0,Silla De Terraza Olive Verde,"El feedback es completamente positivo, destacando la apariencia, fidelidad del color, entrega anticipada y buen empaque. No hay quejas ni sugerencias de mejora, por lo que no corresponde a una categoría de problema o sugerencia."
Cama Mini Palermo Doble Roble Santana,"La cama es preciosa y el armado gratis fue rapidísimo, los técnicos muy amables. Solo mejoraría que avisen la franja horaria de entrega con más anticipación.",logística,2,Cama Mini Palermo Doble Roble Santana,"El feedback es positivo en general, pero incluye una sugerencia de mejora sobre la comunicación de la franja horaria de entrega, lo cual corresponde a la categoría de logística. La severidad es baja (2) porque es una sugerencia de mejora sin impacto crítico. El producto afectado es la cama mencionada. La cita textual es clara y directa. La confianza es alta porque la categoría es evidente."
Sofacama Multifuncional Houston Trigo,El sofacama llegó con una pata rota y la tela del asiento tiene una mancha. Pagué casi 2 millones y medio. Exijo cambio inmediato o devolución del dinero. Adjunto fotos. Pedido #OH-45610.,Producto defectuoso / Calidad,5,Sofacama Multifuncional Houston Trigo,"El feedback reporta dos defectos físicos claros (pata rota y mancha en tela) en el producto recibido, lo que indica un problema de calidad y/o daño en el envío. El cliente exige cambio o reembolso, lo que refleja una alta insatisfacción. La severidad es máxima (5) por tratarse de un defecto que impide el uso normal del producto y por el alto valor del mismo. La cita textual captura la queja principal y la exigencia del cliente."
Mesa De Noche Sion Arena,"Linda mesa de noche, buen acabado de la madera. Le quito una estrella porque el cajón quedó un poco duro al deslizar, toca empujarlo con fuerza.",Funcionalidad,2,Mesa De Noche Sion Arena,"El feedback menciona un problema funcional específico (cajón duro al deslizar) que afecta la experiencia de uso, pero no es crítico ni impide el uso del producto. Se clasifica como severidad 2 (baja) porque es un inconveniente menor que no compromete la integridad del mueble."
Silla De Comedor Emilia Avellana Veracruz Crema,Las sillas están bien pero me gustaría que ofrecieran más opciones de tela. Solo había crema y mi comedor es oscuro. Sería genial poder personalizar el tapizado al hacer el pedido.,Solicitud de personalización,2,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback expresa una solicitud clara de mayor variedad de telas y personalización del tapizado, lo cual corresponde a una sugerencia de mejora en la oferta de productos. La severidad es baja (2) porque no reporta un defecto o problema grave, sino una oportunidad de mejora. El producto afectado se identifica explícitamente. La cita textual es directa del feedback. La confianza es alta (0.95) por la claridad del mensaje."
Combo Hogar Mérida Arena Ivory,Intenté pagar el combo del mes con PSE tres veces y la página me saca error al final del checkout. El carrito se vacía y toca empezar de cero. Ya lo intenté en celular y computador. ¿Me pueden ayudar? No quiero perder el descuento.,Problema técnico en checkout,4,Combo Hogar Mérida Arena Ivory,"El usuario reporta un error recurrente al finalizar el pago con PSE, que vacía el carrito y obliga a reiniciar el proceso, afectando directamente la transacción. La severidad es alta (4) porque impide completar la compra y puede generar pérdida del descuento, lo que impacta la experiencia del cliente y la retención."
Silla Reclinable Coral Houston beige,"La silla reclinable es lo máximo, súper cómoda para teletrabajar y ver TV. El mecanismo reclinable se siente firme y de calidad. Vale cada peso.",Elogio,0,Silla Reclinable Coral Houston beige,"El feedback es completamente positivo, destacando comodidad, calidad y satisfacción general, sin mencionar ningún problema o queja. Por lo tanto, se clasifica como elogio con severidad 0 (sin impacto negativo)."
Cuna Evolutiva Rory Arena,"La cuna evolutiva es espectacular, se nota que son fabricantes porque la madera es de excelente calidad. Me encantó que usan maderas cultivadas. Ya la recomendé a dos amigas embarazadas.",elogio,0,Cuna Evolutiva Rory Arena,"El feedback expresa una opinión muy positiva sobre el producto, destacando la calidad de la madera y el hecho de que sea cultivada, además de mencionar recomendaciones a otras personas. No hay quejas ni problemas, por lo que se clasifica como elogio con severidad 0 (sin impacto negativo). La cita textual es completa y el producto afectado es claramente la cuna evolutiva mencionada. La confianza es alta porque el texto es inequívoco."
Sofá Modular Mini Santorini Verdi Gris,Buenas tardes. En su página dice cobertura de entrega en rutas seleccionadas pero al poner mi dirección en Cartagena no me deja finalizar la compra. ¿Hacen envíos a la costa? ¿Hay algún costo adicional? Gracias.,Logística y Envíos,3,Sofá Modular Mini Santorini Verdi Gris,"El feedback del cliente indica un problema con la logística de envío, específicamente la imposibilidad de completar una compra debido a restricciones de cobertura geográfica. Aunque menciona el producto, el problema central es de envío y logística, no del producto en sí. La severidad es media (3) porque afecta la capacidad de compra pero no es un defecto del producto ni una queja grave. La cita textual captura la esencia del problema."
Puff Olive Arena Calabria Marfil,El puff es bonito pero me pareció pequeño para el precio. En las fotos se ve más grande. Deberían poner una foto con una persona al lado para tener referencia del tamaño real.,Expectativas vs Realidad,3,Puff Olive Arena Calabria Marfil,"El feedback indica una discrepancia entre el tamaño percibido en las fotos y el real, lo que afecta la percepción de valor por el precio. La sugerencia de incluir una persona como referencia refuerza la categoría de expectativas vs realidad. La severidad es media (3) porque no es un defecto funcional pero impacta la satisfacción del cliente."
Base Cama Sion Doble,"Todo bien con la compra, pero sugiero que implementen un rastreo del pedido en línea. Tener que escribir por WhatsApp cada vez para saber dónde va el envío es desgastante.",Sugerencia de mejora en logística,2,Base Cama Sion Doble,"El feedback expresa una sugerencia para mejorar el proceso de seguimiento de envíos, indicando que el método actual (WhatsApp) es desgastante. No hay quejas sobre el producto en sí, sino sobre la experiencia post-compra. La severidad es baja (2) porque no es un problema crítico ni urgente, sino una oportunidad de mejora. El producto mencionado es la Base Cama Sion Doble, aunque la sugerencia es transversal a la logística."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,"La cama de mi hija llegó incompleta, faltan los largueros y los tornillos del frente nuez. Los técnicos de armado vinieron y no pudieron hacer nada. Llevo 5 días esperando las piezas y nadie da razón. Pedido #OH-44987.",Producto incompleto / Faltan piezas,5,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El feedback indica claramente que el producto llegó sin piezas esenciales (largueros y tornillos), lo que impide el armado. La demora de 5 días sin solución y la falta de respuesta agravan la situación, por lo que se clasifica como severidad 5 (crítica). La cita textual refleja exactamente el problema reportado."
Mesa Comedor Sion Rectangular,"Excelente mesa, robusta y elegante. El servicio de armado gratis es un plus enorme. Los muchachos dejaron todo limpio y se llevaron el empaque.",Elogio,0,Mesa Comedor Sion Rectangular,"El feedback es completamente positivo, destacando la calidad del producto y el servicio de armado. No hay quejas ni problemas, por lo que se clasifica como elogio con severidad 0."
Sofá 3 Ptos Olive Calabria Marfil,"El sofá es lindo pero la entrega se demoró 18 días y la comunicación fue casi nula. Solo me enteraba de algo cuando yo escribía. El producto bien, la logística mal.",Logística y entrega,3,Sofá 3 Ptos Olive Calabria Marfil,"El feedback menciona explícitamente un retraso de 18 días en la entrega y falta de comunicación proactiva, lo que corresponde a la categoría de logística y entrega. La severidad es media-alta (3) porque el cliente indica que el producto en sí está bien, pero la experiencia de entrega fue deficiente, lo que afecta la satisfacción general. El producto afectado es el mencionado en el feedback. La cita textual captura la queja principal. La confianza es alta porque el texto es claro y directo."
Silla De Terraza Olive Terracota,"Quiero hacer válida la garantía. Compré 4 sillas de terraza hace 2 meses y a una se le descascaró la pintura con la lluvia. Si son para terraza deberían resistir la intemperie, ¿no? ¿Cómo es el proceso del manual de garantía?",Garantía,4,Silla De Terraza Olive Terracota,"El cliente solicita explícitamente hacer válida la garantía debido a un defecto (descascarado de pintura) en un producto diseñado para terraza, lo que indica un problema de calidad o durabilidad. La severidad es alta (4) porque afecta la funcionalidad esperada del producto y requiere intervención del servicio postventa. La cita textual refleja exactamente la queja y la solicitud de información sobre el proceso de garantía."
Mesa Centro Sion Cuadrada Arena,"Buena mesa de centro, combina con todo. El único detalle es que llegó con un golpecito en una esquina, nada grave pero para el precio uno espera perfección.",calidad del producto,2,Mesa Centro Sion Cuadrada Arena,"El feedback menciona un defecto físico (golpecito) en el producto recibido, lo que corresponde a la categoría de calidad del producto. La severidad es baja (2) porque el cliente indica que 'nada grave' y la calificación es 4, pero señala que para el precio espera perfección. El producto afectado se identifica claramente. La cita textual es precisa y la confianza es alta debido a la claridad del texto."
Silla Auxiliar Olive Calabria Marfil,"Me encantaría que tuvieran realidad aumentada en la página para ver cómo queda el mueble en mi sala antes de comprar, como hacen otras tiendas. Estuve a punto de no comprar por la duda del tamaño.",Experiencia de compra,3,Silla Auxiliar Olive Calabria Marfil,"El feedback expresa una sugerencia de mejora en la experiencia de compra online (realidad aumentada) y menciona que la falta de esta funcionalidad casi le impide comprar. La severidad es media-alta porque afecta la decisión de compra, pero no es un defecto del producto ni un problema crítico de servicio."
Combo Hogar Mérida Arena Ivory,"Compré el combo del mes y me llegaron el sofá y la mesa, pero faltó el puff. En la factura aparece todo. Llevo una semana escribiendo y me pasan de un asesor a otro sin solución. Muy mal servicio postventa.",Problema de envío / faltante,4,Combo Hogar Mérida Arena Ivory,"El feedback indica claramente que el producto 'Combo Hogar Mérida Arena Ivory' llegó incompleto (falta el puff), lo que constituye un problema de envío o faltante. La severidad es alta (4) porque el cliente ha intentado resolverlo durante una semana sin éxito, con transferencias entre asesores, lo que refleja una mala experiencia de servicio postventa. La cita textual es el mensaje completo del cliente."
Sofá Modular Mini Santorini Verdi Ivory,"El modular Santorini transformó mi apartamento. Lo mejor es poder reorganizar los módulos según la ocasión. La tela ivory es delicada eso sí, recomiendo el protector de telas.",calidad,1,Sofá Modular Mini Santorini Verdi Ivory,"El feedback menciona que la tela ivory es delicada, lo que sugiere una observación sobre la calidad del material. Aunque la reseña es positiva en general, esta advertencia indica una posible debilidad del producto. La severidad es baja porque no es una queja directa sino un consejo, y el producto afectado es claramente el sofá mencionado."
Mesa De Terraza Olive Verde,Buena experiencia en general. La mesa llegó bien y a tiempo. Le pongo 8 porque el empaque traía demasiado plástico para una marca que se dice sostenible.,Sostenibilidad,3,Mesa De Terraza Olive Verde,"El feedback menciona explícitamente una crítica al uso excesivo de plástico en el empaque, contradiciendo la imagen sostenible de la marca. Esto se clasifica como un problema de sostenibilidad con severidad media (3) porque afecta la percepción de la marca pero no la funcionalidad del producto."
Silla Reclinable Coral Houston beige,Después de un mes de uso el mecanismo reclinable empezó a sonar y se queda trabado a mitad de camino. Necesito visita técnica por garantía. ¿Tiene costo el desplazamiento? Pedido #OH-43215.,Fallo funcional del producto,4,Silla Reclinable Coral Houston beige,"El feedback describe un problema mecánico (sonido y bloqueo) en el mecanismo reclinable de la silla, lo que constituye un fallo funcional del producto. La severidad es alta (4) porque afecta la funcionalidad principal del producto y requiere intervención técnica en garantía. El producto afectado se identifica claramente como 'Silla Reclinable Coral Houston beige'. La cita textual es la frase que describe el problema. La confianza es alta (0.95) porque el texto es explícito y directo sobre el defecto."
Cuna Evolutiva Rory Arena,"Compramos la cuna Rory para nuestro primer bebé y estamos felices. Que sea evolutiva significa que nos va a durar años. La pintura no tiene olor, eso nos dio mucha tranquilidad.",Positivo,0,Cuna Evolutiva Rory Arena,"El feedback expresa satisfacción con el producto, destacando su carácter evolutivo y la ausencia de olor en la pintura, lo que genera tranquilidad. No se mencionan problemas ni críticas, por lo que se clasifica como positivo con severidad 0."
Mueble Auxiliar Sion Arena,"El mueble bien, pero la página web es muy lenta desde el celular, las fotos de los productos cargan a pedazos y el filtro de precios no funciona en la categoría de auxiliares.",Experiencia de usuario web,3,Mueble Auxiliar Sion Arena,"El feedback menciona problemas de rendimiento y funcionalidad en la página web (lentitud, carga parcial de imágenes, filtro de precios no funcional), lo que afecta la experiencia de usuario. La severidad es media (3) porque son problemas técnicos que impactan la navegación pero no impiden completamente la compra. El producto mencionado es el Mueble Auxiliar Sion Arena, aunque el problema es principalmente de la plataforma web."
Cama Mini Palermo Queen Roble Santana,"Los señores del armado llegaron 4 horas tarde de la cita y yo pedí permiso en el trabajo. Además dejaron la cama mal nivelada, se mueve toda. Necesito que vuelvan a nivelarla, esta vez puntuales por favor.",Servicio de armado,4,Cama Mini Palermo Queen Roble Santana,El feedback se centra en dos problemas del servicio de armado: retraso de 4 horas que afectó al cliente laboralmente y mala nivelación de la cama que causa inestabilidad. La severidad es alta (4) porque combina incumplimiento de cita y defecto funcional del producto armado. El producto afectado es explícitamente mencionado. La cita textual captura la queja completa. La confianza es alta porque el texto es claro y directo sobre el servicio.
Sofa 2 Ptos Macarena Negro Idilio Crudo,Decepcionado. A los 20 días la tela del sofá Macarena empezó a hacer motas (pilling) y los cojines ya se ven vencidos. Para ser 'fabricantes con 10 años de garantía' la calidad de la tela deja mucho que desear.,Calidad del producto,4,Sofa 2 Ptos Macarena Negro Idilio Crudo,"El feedback describe un defecto de calidad (pilling y cojines vencidos) que aparece a los 20 días de uso, lo cual es una falla temprana y grave para un producto con garantía de 10 años. La severidad es alta (4) porque afecta la apariencia y funcionalidad del sofá, generando decepción en el cliente."
Silla De Comedor Emilia Avellana Veracruz Crema,Muy contenta con las sillas del comedor. Llegaron perfectas y el descuento del 30% hizo la diferencia. Solo sugiero ampliar el horario de entregas a sábados.,Logística y entrega,2,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback es positivo en general, pero incluye una sugerencia específica sobre el horario de entregas, indicando que el cliente desearía que hubiera entregas los sábados. Esto afecta al servicio de logística y entrega, no al producto en sí. La severidad es baja (2) porque es una sugerencia de mejora, no una queja o problema grave. La cita textual es directa y clara. La confianza es alta porque la sugerencia es explícita y no hay ambigüedad."
Sofá 3 Ptos Olive Calabria Marfil,"En la web el sofá aparece disponible pero después de pagar me llamaron a decir que no hay stock hasta dentro de un mes. Eso es publicidad engañosa. Quiero la devolución del dinero ya, no un bono.",Problema de stock / disponibilidad,5,Sofá 3 Ptos Olive Calabria Marfil,"El feedback describe un problema grave de disponibilidad de stock que contradice la información mostrada en la web, lo que genera una percepción de publicidad engañosa. El cliente exige la devolución del dinero, lo que indica una alta insatisfacción y urgencia. La severidad se califica como 5 (máxima) por el impacto en la confianza del cliente y la posible repercusión legal. La cita textual es completa y refleja exactamente la queja. La confianza es alta porque el texto es claro y directo."
Mesa De Noche Sion Avellana,"Divinas las mesas de noche en avellana, compré dos y el tono es uniforme en ambas. Se nota la calidad de fabricante. El 20% de descuento fue el empujón final.",Positivo,1,Mesa De Noche Sion Avellana,"El feedback es completamente positivo, destacando la uniformidad del tono, la calidad del fabricante y el descuento como factor decisivo. No hay quejas ni sugerencias de mejora, por lo que se clasifica como positivo con baja severidad."
